tconst parentTconst seasonNumber episodeNumber
1000117329 1948746460 1935597282 344075432
100011755 1138999507 1935597282 208868812
1000118112 587842357 1935597282 487342781
1000118163 1338401525 1935597282 644545014
1000118376 1378011999 1935597282 344075432
1000118476 652908109 2093227591 2093227591
1000118651 1245363099 344075432 1296460517
1000118796 1825527923 2093227591 2093227591
1000118940 998610875 1906157682 1703541195
1000118986 1120884459 2093227591 2093227591
1000119163 740758399 1935597282 1005901381
1000119889 2079060412 1296460517 644545014
1000119947 2269905 1935597282 644545014
1000120004 2066862440 1935597282 300830805
100012015 1243935818 2093227591 2093227591
1000120218 947485486 2093227591 2093227591
1000120412 1023130073 1935597282 644545014
1000120718 474936262 1935597282 515773166
1000121050 1855203982 644545014 510687177
1000121224 571496539 1935597282 651461093
1000121435 784438784 1935597282 1028417572
1000121488 1229627304 1935597282 277511426
1000121562 521520953 1935597282 510687177
1000121861 447556402 1935597282 277511426
1000123246 1259216659 1935597282 1776595210
1000123394 1524249097 1935597282 1746466863
1000123424 895335599 1935597282 1296460517
100012447 1622070756 2093227591 2093227591
1000124775 210614835 2093227591 2093227591
1000124877 1887915405 644545014 1906157682
1000124955 1673131035 1935597282 914181773
1000125559 1949413244 1906157682 644545014
1000126000 858722823 1935597282 2075431989
1000126231 1637130521 2093227591 2093227591
1000126552 635587088 2093227591 2093227591
1000126791 1002167996 1296460517 1296460517
1000126842 1662857722 1935597282 1559075880
1000126934 1579605466 644545014 1241497435
1000127036 1012342503 1935597282 1296460517
1000127099 764276262 1935597282 1076155389
1000127317 727648286 1935597282 1747095600
1000127420 1383674338 1935597282 644545014
1000127 507684315 1935597282 1076155389
1000127640 313051789 1935597282 1751479049
1000128188 2091141203 1125156736 673423518
1000128393 1273204327 2093227591 2093227591
1000128683 975976366 1935597282 367832684
1000129122 686539231 1935597282 1930377090
1000129124 1458852761 1935597282 1622766299
1000130117 1243935818 2093227591 2093227591
1000130692 1452371857 2093227591 2093227591
1000130712 249403888 510687177 998975834
1000130752 1921949660 2093227591 2093227591
1000130849 249617771 277511426 1559075880
1000130951 1992120713 1935597282 1935597282
1000131073 852065854 2093227591 2093227591
1000131086 1349316586 1906157682 1076155389
1000131145 1698537205 2093227591 2093227591
1000131275 755903942 1935597282 1522820320
1000131296 1350588266 1906157682 1076155389
100013150 391953295 1935597282 1935597282
1000131587 256616705 1884490263 644545014
1000132030 1129517391 344075432 1884490263
1000132112 1704355621 1935597282 1935597282
1000132456 114104442 1906157682 1945353820
1000132721 1574635078 1906157682 277511426
1000133126 2086400113 1935597282 356195830
100013333 1512017780 1906157682 1703541195
1000133333 1627002091 510687177 1935597282
1000133470 173958455 2093227591 2093227591
1000133724 419921805 1076155389 1906157682
1000133865 2042314544 1935597282 1548854778
1000134070 1308563250 1906157682 513439921
1000134394 140641094 709462510 1709234884
1000134643 982140682 1906157682 1906157682
1000134945 279121294 1935597282 1214491019
10001358 1913956489 1935597282 719457268
100013641 842935758 277511426 1006023133
1000136429 1181530787 1935597282 344075432
1000137322 1590064872 1935597282 1880724405
1000137353 151694963 2093227591 2093227591
1000137438 1339397295 1935597282 193487705
1000137931 1859386860 2093227591 2093227591
1000138128 213636102 2093227591 2093227591
1000138522 2030297423 1935597282 1906157682
1000138958 1345718498 1935597282 195094073
1000139036 470094681 1935597282 195094073
1000139574 1188538359 1935597282 116677418
100013972 1328891972 1935597282 1774904974
1000140102 299837074 2093227591 2093227591
1000140543 1813577037 2093227591 2093227591
10001409 1293289927 1935597282 755116736
1000140918 764496730 1906157682 1935597282
100014114 2042344710 1906157682 914181773
1000141259 1993437799 2093227591 2093227591
1000141718 949881877 344075432 1906157682
1000141984 598318097 1935597282 1214353729
1000142350 1960443491 1935597282 481482933
100014246 515359068 1935597282 1367180859
100014261 1194818286 2093227591 2093227591
1000142995 2015601762 2093227591 2093227591
1000143015 915091409 2093227591 2093227591
1000143678 1913548310 1935597282 2039376950
1000143730 2034763101 1935597282 305479396
1000144104 889145185 1935597282 1998205215
1000144201 119258153 2093227591 2093227591
1000144 2041955358 1935597282 339633986
1000144402 1471119522 1935597282 1076155389
1000144673 458190920 2093227591 2093227591
1000144827 780532615 639098870 1746466863
1000145243 2042314544 1935597282 273303320
1000145517 61121714 1935597282 1136235430
1000145576 156059495 2093227591 2093227591
1000145845 350795423 1367180859 277511426
1000145889 1477741295 2093227591 2093227591
1000146285 847328945 2093227591 2093227591
1000146439 303482945 1935597282 1498162183
1000146630 1749085287 1935597282 1937527650
1000146853 1612651954 151672684 1088893705
100014735 799247980 1935597282 1935597282
1000147541 1107417927 1935597282 1746466863
1000147827 1509083009 1935597282 62428033
1000147917 1134406494 1906157682 639098870
1000148536 998586303 1935597282 1921791077
1000148566 703130643 651461093 1935597282
1000148867 187148086 2093227591 2093227591
1000148872 1747431817 2093227591 2093227591
1000149527 851092277 1935597282 1123652030
1000149882 1739956305 1935597282 1367180859
1000150036 1433492250 1935597282 1367180859
1000150866 1810831971 1076155389 1935597282
1000150880 1240678538 1935597282 755116736
1000151213 1388167433 1935597282 519227060
1000151506 1033950175 709462510 371193521
100015191 551963018 1935597282 1865237501
1000152047 540060317 1935597282 510687177
1000152060 362257586 1935597282 914181773
1000152332 677510357 2093227591 2093227591
1000152429 1071223464 1935597282 28037906
1000152565 683778314 1935597282 1937527650
1000153196 1727031643 1935597282 859470231
1000153292 1678529112 1935597282 1296460517
1000153323 802432939 1935597282 1597742782
1000153571 2080082849 2093227591 2093227591
1000153813 1225135400 1935597282 1820444087
1000154347 849045064 1935597282 328366576
1000154932 282249007 1935597282 195094073
1000155 1980676490 1935597282 1241497435
1000155447 354102561 1935597282 195094073
1000155747 1879454683 1296460517 1048283322
1000156110 640569461 2093227591 2093227591
1000156264 2019735000 644545014 510687177
1000156325 1156235100 1935597282 1740067953
1000156642 1070267271 560826481 279996746
1000156843 1481884811 1884490263 1945353820
1000157093 1058546095 2093227591 2093227591
